都道府県,施設名,住所,place_id
東京,スターバックスコーヒー 水道橋後楽森ビル店,日本、〒112-0004 東京都文京区後楽１丁目４−１４ 森ビル 1F,ChIJNfqy4EaMGGAR51sW_7PltDQ
東京,スターバックスコーヒー 西五反田店,日本、〒141-0031 東京都品川区西五反田１丁目１８−１ ゴタンダ エクス １F,ChIJmRxovvqKGGARh1XGuNJCjSI
東京,スターバックスコーヒー 西新宿三井ビル店,日本、〒160-0023 東京都新宿区西新宿６丁目２４−１ 西新宿三井ビルディング,ChIJW0SO89TyGGARx7XkXc2ihN8
東京,スターバックスコーヒー 代々木店,日本、〒151-0053 東京都渋谷区代々木１丁目３８−７ 川本ビル,ChIJ75m4AcaMGGARYc2-voWVtBk
東京,スターバックスコーヒー 大井町駅東口店,日本、〒140-0011 東京都品川区東大井５丁目２０−１,ChIJN8oKOHyKGGARrBAM113MYwM
東京,スターバックスコーヒー 大崎ブライトタワー店,日本、〒141-0001 東京都品川区北品川５丁目６−１ 大崎ブライトタワー,ChIJYXrXcPaKGGARrWEIgddhUyc
東京,スターバックスコーヒー 大泉学園ゆめりあフェンテ店,日本、〒178-0063 東京都練馬区東大泉５丁目４３−１ ゆめりあフェンテ,ChIJTYgVQ8buGGARcl06S15fPUs
東京,スターバックスコーヒー 大塚駅前店,日本、〒170-0004 東京都豊島区北大塚２丁目１３−１,ChIJsaOf73aNGGARASs2H2gP7Uw
東京,スターバックスコーヒー 池尻2丁目店,日本、〒154-0001 東京都世田谷区池尻２丁目２７−７ アリビエ池尻,ChIJSR8D3Kj0GGARyIHLp6nI7I0
東京,スターバックスコーヒー 池袋ショッピングパーク南館店,日本、〒171-0022 東京都豊島区南池袋１丁目２９−１ 池袋ショッピングパーク,ChIJo4TXv2eNGGARFWbmqAECDc8
東京,スターバックスコーヒー 池袋西口店,日本、〒171-0021 東京都豊島区西池袋１丁目１７−１０ エキニア池袋,ChIJ___PM1yNGGARddwEdeQZu_s
東京,スターバックスコーヒー 築地駅前店,日本、〒104-0045 東京都中央区築地２丁目１２−８ まるみビル 1F,ChIJ__9jnN-LGGARfCh2LsH86YY
東京,スターバックスコーヒー 中目黒山手通り店,日本、〒153-0051 東京都目黒区上目黒３丁目１−３ プライムアーバン中目黒 II,ChIJQ7wAyE6LGGARUHG3s2QFEjQ
東京,スターバックスコーヒー 東急歌舞伎町タワー店,日本、〒160-0021 東京都新宿区歌舞伎町１丁目２９−１ 東急歌舞伎町タワ,ChIJ_0fo_BONGGARWISjo-EgdZM
東京,スターバックスコーヒー 東京スカイツリータウン・ソラマチ東6階店,日本、〒131-0045 東京都墨田区押上１丁目１−２ 東京スカイツリータウン,ChIJUaJR8NaOGGARnOWWqwpbcRE
東京,スターバックスコーヒー 東京ドームシティ ラクーア店,日本、〒112-0003 東京都文京区春日１丁目１−１ ラクーア,ChIJ-Z42DTiMGGARaNllbxUIC9w
東京,スターバックスコーヒー 東京ビッグサイト店,日本、〒135-0063 東京都江東区有明３丁目１１−１ 東京ビッグサイト レストラン街,ChIJH5hMhN2JGGAREUMcCfu3Rwk
東京,スターバックスコーヒー 東京ミッドタウン店,日本、〒107-0052 東京都港区赤坂９丁目７−２ 東京ミッドタウンB0103,ChIJ30G_l3iLGGARYNilOEO6xVI
東京,スターバックスコーヒー 東京ミッドタウン日比谷店,日本、〒100-0006 東京都千代田区有楽町１丁目１−４ 東京ミッドタウン日比谷,ChIJq_OOJO6LGGARJYJAWaQf8NI
東京,スターバックスコーヒー 東京科学大学店,日本、〒113-8519 東京都文京区湯島１丁目５−４５ 東京科学大学C 棟1階,ChIJge8QphmMGGAR7EAUu_sSZCk
東京,スターバックスコーヒー 東銀座店,日本、〒104-0061 東京都中央区銀座５丁目１５−８ 時事通信ビル,ChIJRbqR-N2LGGARPQ82SN0SM9A
東京,スターバックスコーヒー 南池袋店,日本、〒171-0022 東京都豊島区南池袋２丁目１６−４ ＳＫビル,ChIJJyVmOmiNGGARyGnTZL44HLQ
東京,スターバックスコーヒー 二子玉川 蔦屋家電店,日本、〒158-0094 東京都世田谷区玉川１丁目１４−１ 二子玉川ライズ S.C. テラスマーケット,ChIJE7vnfUD0GGARsj_FIKKRDQg
東京,スターバックスコーヒー 日本橋スルガビル店,日本、〒103-0022 東京都中央区日本橋室町１丁目７−１ スルガビル 1F,ChIJjTjveVaJGGAR4SmOJrjRnRs
東京,スターバックスコーヒー 日本大学板橋病院店,日本、〒173-0032 東京都板橋区大谷口上町３０−１ 板橋病院,ChIJL9eiz8qSGGARQvBENg5kTSw
東京,スターバックスコーヒー 白金高輪店,日本、〒108-0072 東京都港区白金１丁目１７−２−１０２ アエルシティ,ChIJNSy4XqiLGGARANBq80u4xlM
東京,スターバックスコーヒー 飯田橋サクラテラス 2階店,日本、〒102-0071 東京都千代田区富士見２丁目１０−２ 飯田橋グラン・ブルーム サクラテラス,ChIJq7xQFEOMGGARrjGeqTCfNts
東京,スターバックスコーヒー 飯田橋サクラテラス店,日本、〒102-0071 東京都千代田区富士見２丁目１０−２,ChIJQ9NqLkOMGGARRyTTNh5xoYg
東京,スターバックスコーヒー 飯田橋軽子坂店,日本、〒162-0824 東京都新宿区揚場町２−１ 軽子坂ＭＮビル 1F,ChIJ0dy_KUWMGGARS6CZRDFj-cw
東京,スターバックスコーヒー 表参道ヒルズ店,日本、〒150-0001 東京都渋谷区神宮前４丁目１２−１０ 表参道ヒルズ,ChIJo9MxHOKNGGARhHNLkEvFRTM
東京,スターバックスコーヒー 武蔵小山店,日本、〒142-0062 東京都品川区小山３丁目１５−１ パークシティ武蔵小山ザ モール,ChIJvzxx0USLGGARsZsVelyXvEg
東京,スターバックスコーヒー 豊洲センタービル店,日本、〒135-6090 東京都江東区豊洲３丁目３−３ 豊洲センタービル 1F,ChIJx7U7yaOJGGARVT1wXVmmXM8
東京,スターバックスコーヒー 北の丸スクエア店,日本、〒102-0073 東京都千代田区九段北１丁目１３−１２ 北の丸スクエア,ChIJf9IQHWuMGGAR3tH7Sw31YX0
東京,スターバックスコーヒー 麻布十番店,日本、〒106-0045 東京都港区麻布十番１丁目１１−１４ ＳＢＳビル,ChIJuXDmXp-LGGAR5V08Mol7PAg
東京,スターバックスコーヒー 明大前店,日本、〒156-0043 東京都世田谷区松原２丁目４６−５ Ｒｙｕ’ｓビル １F,ChIJp0WQK6jzGGARPNCho7o9Fjs
東京,スターバックスコーヒー 明大前店,日本、〒156-0043 東京都世田谷区松原２丁目４６−５ Ｒｙｕ’ｓビル １F,ChIJp0WQK6jzGGARPNCho7o9Fjs
東京,スターバックスコーヒー 木場イトーヨーカドー店,日本、〒135-0042 東京都江東区木場１丁目５−３０ イトーヨーカドー木場店 1F,ChIJ5TpY2weJGGAR6QiZQ_ucUQs
東京,スターバックスコーヒー 雷門店,日本、〒111-0032 東京都台東区浅草１丁目１８−２ 雷門旅館,ChIJ-_0N-w2PGGARuKkop5X4Nkk
東京,スターバックスコーヒー 六本木 蔦屋書店,日本、〒106-0032 東京都港区六本木６丁目１１−１ ゲートタワ,ChIJT1bQAXaLGGAREfWJSKaY6_w
